CASRN,NAME,DTXSID,mean_conc_black,mean_conc_amerind,mean_conc_hispanic,mean_conc_asian,mean_conc_pacisl,mean_conc_nhw,mean_conc_lowinc,mean_conc_verylowinc,mean_conc_medhighinc,contributing_cbgs
542-75-6,"1,3-Dichloropropene",DTXSID1022057,0.00000274087258078145,0.00000049889897397092,0.00000356126390428198,0.000000630434867889296,0.000000875371313572597,0.00000107992250319521,0.00000243088052809617,0.00000210573716749737,0.00000142999126163656,4290
55-18-5,N-Nitrosodiethylamine,DTXSID2021028,0.00000000000106281787060793,0.000000000000293882489158325,0.000000000000299076059993248,0.000000000000719983311943105,0.00000000000269586316357439,0.00000000000414939723486583,0.0000000000027327777629272,0.00000000000263134009802535,0.00000000000279945270473752,894
556-52-5,Glycidol,DTXSID4020666,0.00000164620909080698,0.000000523243838478694,0.0000016032937141687,0.000000459114887580781,0.000000174052511362069,0.000000797050433163759,0.00000128500529105602,0.00000135750291011429,0.000000934180094681273,4603
56-23-5,Carbon tetrachloride,DTXSID8020250,0.0000685481274227595,0.0000100374461376334,0.0000243661297390974,0.0000163660936178042,0.0000186668192828637,0.0000279053756817148,0.00003431670630004,0.0000359478953536569,0.0000303560143719803,14606
56-38-2,Parathion,DTXSID7021100,0.000000000215011610578224,0.0000000000155138357099151,0.0000000000185624249855656,0.00000000000245358172549129,0.0000000000000809509471989686,0.0000000000291975396491241,0.0000000000652105541285712,0.0000000000780567307911205,0.0000000000409028443346556,1720
563-47-3,3-Chloro-2-methylpropene,DTXSID1020279,0.000000232322238619536,0.0000000875115606969364,0.0000000393670651141004,0.0000000765095817000539,0.0000000358265282467622,0.000000160033987537874,0.000000144510991654228,0.000000152081455991637,0.00000014136029842495,2587
57-14-7,"1,1-Dimethylhydrazine",DTXSID1020516,0.00000000112501199430119,0.000000000206046567069774,0.000000000558092859373148,0.000000000263040902588884,0.000000000168058476108562,0.000000000422564934975511,0.000000000583378305056713,0.000000000611874244678419,0.000000000489360215576066,1214
57-41-0,"5,5-Diphenylhydantoin",DTXSID8020541,0.0000000431765968409973,0.0000000199102103768725,0.00000001661601653853,0.0000000167530085744762,0.0000000140199463637966,0.0000000684829004928714,0.0000000569086605787884,0.0000000541678092974126,0.0000000507732700379347,515
57-74-9,Chlordane,DTXSID7020267,0.000000015763825497999,0.00000000222995614671321,0.00000000215281230025843,0.00000000205510608456226,0.00000000105500725255206,0.00000000383238886170043,0.00000000657051450869013,0.00000000750434917073631,0.00000000423628244896886,10470
58-89-9,Lindane,DTXSID2020686,0.00000000471749778715406,0.00000000162673309749826,0.00000000304356906123466,0.00000000116288275188045,0.000000000768224528519074,0.00000000236307083537524,0.00000000311599674629705,0.00000000309068786278943,0.00000000249538055252192,5737
584-84-9,"Toluene 2,4-diisocyanate",DTXSID7026156,0.0000104133759432204,0.000000908558721894439,0.00000114867054851278,0.00000144456715315831,0.00000203262719231516,0.00000247608321193644,0.00000350727377999306,0.00000365308651471029,0.00000297319016150832,33676
59-89-2,N-Nitrosomorpholine,DTXSID4021056,0.00000000100126674937656,0.000000000053524033842454,0.000000000165979437489236,0.000000000247178464990455,0.00000000129863559324811,0.00000000107258529482729,0.00000000141789668742715,0.00000000163979854694624,0.000000000606969312417092,171
