Analyte,CAS,Subtopic,50th Percentile,75th Percentile,90th Percentile,95th Percentile,Year
Arsenous (III) Acid (μg/g CrCl),13464-58-9,Age: 20 years and older,0.3141,0.6415,1.1615,1.6731,2010-2011
Barium (μg/g CrCl),7440-39-3,Age: 20 years and older,1.4663,2.857,5.3157,7.1679,2010-2011
Beryllium (μg/g CrCl),7440-41-7,Age: 20 years and older,,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,Age: 20 years and older,0.242,0.4158,0.7451,1.0926,2010-2011
Cesium (μg/g CrCl),7440-46-2,Age: 20 years and older,3.688,5.4292,7.4134,9.6524,2010-2011
Cobalt (μg/g CrCl),7440-48-4,Age: 20 years and older,0.4317,0.7363,1.2108,1.7281,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,Age: 20 years and older,4.2919,7.2948,12.5669,18.2553,2010-2011
Lead (μg/g CrCl),7439-92-1,Age: 20 years and older,0.3267,0.6188,1.0139,1.3389,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,Age: 20 years and older,44.4092,70.3566,106.7753,135.4911,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,Age: 20 years and older,,0.8576,1.5075,1.9591,2010-2011
Platinum (μg/g CrCl),7440-06-4,Age: 20 years and older,,,,,2010-2011
TCPy (μg/g CrCl),6515-38-4,Age: 20 years and older,1.0063,1.7202,2.8873,4.0202,2010-2011
Thallium (μg/g CrCl),7440-28-0,Age: 20 years and older,0.1289,0.1889,0.2705,0.3678,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,Age: 20 years and older,12.3757,25.8259,56.7709,92.5138,2010-2011
Tungsten (μg/g CrCl),7440-33-7,Age: 20 years and older,,0.1489,0.3307,0.5076,2010-2011
Uranium (μg/g CrCl),7440-61-1,Age: 20 years and older,,,,0.0255,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,Age: 20 years and older,,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,Age: 20 years and older,,,0.5497,1.5311,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,Age: 20 years and older,,0.8084,2.7347,7.0437,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,Age: 6-11 years,0.5263,0.9658,2.8752,7.4662,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,Age: 6-11 years,,,0.0818,0.1222,2010-2011
Antimony (μg/g CrCl),7440-36-0,Age: 6-11 years,,,0.1769,0.2282,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,Age: 6-11 years,,,,,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,Age: 6-11 years,,2.3922,8.0948,12.071,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,Age: 6-11 years,,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,Age: 6-11 years,0.4308,0.8397,1.2166,1.5145,2010-2011
Barium (μg/g CrCl),7440-39-3,Age: 6-11 years,2.2861,4.1771,6.1599,8.2031,2010-2011
Beryllium (μg/g CrCl),7440-41-7,Age: 6-11 years,,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,Age: 6-11 years,0.2153,0.3132,0.4711,0.5891,2010-2011
Cesium (μg/g CrCl),7440-46-2,Age: 6-11 years,4.3495,5.9152,8.3642,11.8972,2010-2011
Cobalt (μg/g CrCl),7440-48-4,Age: 6-11 years,0.7444,1.0516,1.6374,1.8507,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,Age: 6-11 years,5.7591,9.6869,17.0633,21.6102,2010-2011
Lead (μg/g CrCl),7439-92-1,Age: 6-11 years,0.3504,0.5586,0.947,1.2603,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,Age: 6-11 years,82.0353,123.2127,169.2886,213.7525,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,Age: 6-11 years,0.6108,1.0643,1.5904,2.2381,2010-2011
Platinum (μg/g CrCl),7440-06-4,Age: 6-11 years,,,,,2010-2011
TCPy (μg/g CrCl),6515-38-4,Age: 6-11 years,1.6829,2.5492,4.4275,5.7538,2010-2011
Thallium (μg/g CrCl),7440-28-0,Age: 6-11 years,0.1484,0.2316,0.3218,0.4568,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,Age: 6-11 years,13.4239,21.8789,29.5211,50.1221,2010-2011
Tungsten (μg/g CrCl),7440-33-7,Age: 6-11 years,0.2211,0.3652,0.6264,0.998,2010-2011
Uranium (μg/g CrCl),7440-61-1,Age: 6-11 years,,,,0.0226,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,Age: 6-11 years,,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,Age: 6-11 years,,,0.2255,0.425,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,Age: 6-11 years,,0.8385,1.4313,2.6148,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,"Race/eth: Asian, Non-Hispanic",0.4471,0.8936,1.6684,2.3563,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,"Race/eth: Asian, Non-Hispanic",,,0.1133,0.2374,2010-2011
Antimony (μg/g CrCl),7440-36-0,"Race/eth: Asian, Non-Hispanic",,,,0.1299,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,"Race/eth: Asian, Non-Hispanic",,,,0.5555,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,"Race/eth: Asian, Non-Hispanic",5.4613,12.0481,26.489,50.6047,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,"Race/eth: Asian, Non-Hispanic",,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,"Race/eth: Asian, Non-Hispanic",0.7442,1.1715,2.0812,3.0176,2010-2011
Barium (μg/g CrCl),7440-39-3,"Race/eth: Asian, Non-Hispanic",1.0681,2.5231,4.6645,7.799,2010-2011
Beryllium (μg/g CrCl),7440-41-7,"Race/eth: Asian, Non-Hispanic",,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,"Race/eth: Asian, Non-Hispanic",0.3104,0.5978,1.1003,1.2989,2010-2011
Cesium (μg/g CrCl),7440-46-2,"Race/eth: Asian, Non-Hispanic",4.1449,6.0456,9.8595,12.5071,2010-2011
Cobalt (μg/g CrCl),7440-48-4,"Race/eth: Asian, Non-Hispanic",0.4803,0.8094,1.3599,1.777,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,"Race/eth: Asian, Non-Hispanic",11.9345,18.6502,36.5434,46.8246,2010-2011
Lead (μg/g CrCl),7439-92-1,"Race/eth: Asian, Non-Hispanic",,0.5494,0.7728,1.0365,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,"Race/eth: Asian, Non-Hispanic",49.7138,74.1821,104.3123,119.205,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,"Race/eth: Asian, Non-Hispanic",0.8159,1.5533,2.1918,2.6065,2010-2011
Platinum (μg/g CrCl),7440-06-4,"Race/eth: Asian, Non-Hispanic",,,,,2010-2011
TCPy (μg/g CrCl),6515-38-4,"Race/eth: Asian, Non-Hispanic",1.0531,1.8853,4.0435,7.2098,2010-2011
Thallium (μg/g CrCl),7440-28-0,"Race/eth: Asian, Non-Hispanic",0.1536,0.2476,0.3969,0.4458,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,"Race/eth: Asian, Non-Hispanic",24.2968,50.9311,104.8334,154.4699,2010-2011
Tungsten (μg/g CrCl),7440-33-7,"Race/eth: Asian, Non-Hispanic",,0.1241,0.2022,0.3442,2010-2011
Uranium (μg/g CrCl),7440-61-1,"Race/eth: Asian, Non-Hispanic",,,,,2010-2011
"cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane carboxylic acid (DBCA) (μg/g CrCl)",63597-73-9,"Race/eth: Asian, Non-Hispanic",,,,,2010-2011
cis-DCCA (μg/g CrCl),59042-49-8,"Race/eth: Asian, Non-Hispanic",,0.0799,0.3303,0.782,2010-2011
"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (trans-DCCA) (μg/g CrCl)",55701-05-8,"Race/eth: Asian, Non-Hispanic",,0.655,1.5875,2.5221,2010-2011
3-phenoxybenzoic acid (3-PBA) (μg/g CrCl),3739-38-6,Gender: Female,0.4934,0.9805,2.8027,6.4674,2010-2011
4-fluoro-3-phenoxybenzoic acid (4F-3PBA) (μg/g CrCl),77279-89-1,Gender: Female,,,0.1217,0.2069,2010-2011
Antimony (μg/g CrCl),7440-36-0,Gender: Female,,,,0.1539,2010-2011
Arsenic (V) Acid (μg/g CrCl),7440-38-2,Gender: Female,,,,,2010-2011
Arsenobetaine (μg/g CrCl),64436-13-1,Gender: Female,0.9971,6.7802,21.0772,41.1594,2010-2011
Arsenocholine (μg/g CrCl),39895-81-3,Gender: Female,,,,,2010-2011
Arsenous (III) Acid (μg/g CrCl),13464-58-9,Gender: Female,0.3445,0.7124,1.1988,1.6654,2010-2011
Barium (μg/g CrCl),7440-39-3,Gender: Female,1.7207,3.2131,5.6922,8.131,2010-2011
Beryllium (μg/g CrCl),7440-41-7,Gender: Female,,,,,2010-2011
Cadmium (μg/g CrCl),7440-43-9,Gender: Female,0.2552,0.4367,0.7958,1.1246,2010-2011
Cesium (μg/g CrCl),7440-46-2,Gender: Female,3.989,5.7001,7.7339,10.5115,2010-2011
Cobalt (μg/g CrCl),7440-48-4,Gender: Female,0.5887,0.9367,1.4412,1.9424,2010-2011
Dimethylarsinic Acid (DMA) (μg/g CrCl),75-60-5,Gender: Female,4.6595,7.8704,13.6436,19.4642,2010-2011
Lead (μg/g CrCl),7439-92-1,Gender: Female,,0.579,1.014,1.3258,2010-2011
Molybdenum (μg/g CrCl),7439-98-7,Gender: Female,50.6869,79.3018,117.0114,151.3438,2010-2011
Monomethylarsonic acid (MMA) (μg/g CrCl),124-58-3,Gender: Female,,0.9462,1.6083,2.143,2010-2011
Platinum (μg/g CrCl),7440-06-4,Gender: Female,,,,,2010-2011
TCPy (μg/g CrCl),6515-38-4,Gender: Female,1.1199,1.8668,2.9566,4.0138,2010-2011
Thallium (μg/g CrCl),7440-28-0,Gender: Female,0.1365,0.2017,0.2922,0.3809,2010-2011
Total Arsenic (μg/g CrCl),7440-38-2,Gender: Female,13.0196,25.9996,50.4758,73.2388,2010-2011
Tungsten (μg/g CrCl),7440-33-7,Gender: Female,,0.1875,0.3724,0.6658,2010-2011
Uranium (μg/g CrCl),7440-61-1,Gender: Female,,,,0.0219,2010-2011
